product_id,post_name,product_type,priorite_decisionnelle,decision_score,bc05_iforest_flag,bc05_iforest_score,if_component,knn_component,kmeans_component,shap_component,impact_component,shap_top_driver,lecture_strategique,price,purchase_price,taux_marge,stock_quantity,total_sales_clean,ca_par_article
6299,lucien-boillot-gevrey-chambertin-1er-cru-les-cherbaudes-2017,Vin,Critique,0.8,True,-0.007820101500073173,0.9127272727272727,0.8842424242424243,0.7343787878787879,0.41653958526475926,0.2,bc05_std_purchase_price,Rupture avec demande - arbitrage stock prioritaire,78.0,41.51,,0,4.0,
4352,champagne-egly-ouriet-grand-cru-millesime-2008,Champagne,Critique,0.8,True,-0.2874758895414171,1.0,0.9987878787878788,0.7988636363636363,1.0,0.2,bc05_std_price,Rupture avec demande - arbitrage stock prioritaire,225.0,137.81,,0,11.0,
5892,coteaux-champenois-egly-ouriet-ambonnay-rouge-2016,Champagne,Critique,0.744290223914202,True,-0.2633913840828991,0.9975757575757576,1.0,0.9983030303030302,0.952720420960201,0.0,bc05_std_price,Atypie forte et impact business eleve,191.3,116.06,,98,6.0,
4355,champagne-egly-ouriet-grand-cru-brut-blanc-de-noirs,Champagne,Critique,0.7292866010281559,True,-0.2377178504150511,0.9951515151515151,0.9781818181818182,0.9669090909090909,0.9006841920997414,0.0,bc05_std_taux_marge,Atypie forte et impact business eleve,12.65,77.48,,97,0.0,
6126,champagne-gosset-celebris-vintage-2007,Champagne,Critique,0.7227849363791926,True,-0.18933273798075978,0.9854545454545455,0.9939393939393939,0.9906666666666666,0.7976069395495019,0.0,bc05_std_price,Atypie forte et impact business eleve,135.0,80.33,,138,5.0,
5001,david-duband-charmes-chambertin-grand-cru-2014,Vin,Critique,0.7178417516521657,True,-0.26785377930788057,0.9987878787878788,0.9963636363636363,0.7980151515151515,0.9923038801580204,0.0,bc05_std_price,Atypie forte et impact business eleve,217.5,116.87,,18,2.0,
5025,champagne-agrapart-fils-lavizoise-grand-cru-2012-extra-brut-blanc-de-blancs,Champagne,Critique,0.7102719898678048,True,-0.15302791535405758,0.9818181818181818,0.9842424242424243,0.982181818181818,0.7155077774659281,0.0,bc05_std_purchase_price,Atypie forte et impact business eleve,112.0,68.6,,136,6.0,
5767,camille-giroud-clos-de-vougeot-2016,Vin,Critique,0.7074021669123217,True,-0.2337104899240987,0.9903030303030304,0.9854545454545455,0.7954696969696969,0.9389989418504899,0.0,bc05_std_price,Atypie forte et impact business eleve,175.0,90.42,,12,4.0,
4402,cognac-frapin-vip-xo,Cognac,Critique,0.7021747544235074,True,-0.2297819000797321,0.9890909090909091,0.9878787878787879,0.7963181818181818,0.8842399684774984,0.0,bc05_std_price,Atypie forte et impact business eleve,176.0,78.25,,11,3.0,
4594,,,Critique,0.6996182384732278,True,-0.21666607277188898,0.9878787878787879,0.9951515151515151,0.7903787878787879,0.8566748089747022,0.0,bc05_std_price,Atypie forte et impact business eleve,144.0,87.36,,0,,
